Timestamp,What is your current year of study,What is your current relationship status?,How do you prefer studying before exams?,Do you do competitive programming?,Which hostel do you live in?,What is your gender?,What is your favourite sport?,Favourite hangout place in campus,Which state/union territory do you belong to?,What is your dept?,What is your preferred coding language?,What is your favourite place to eat at IIT Guwahati?,Which is your favourite club in IIT Guwahati?,Are you satisfied in IIT Guwahati,What is your current cpi?
2022/08/16 12:52:26 pm GMT+5:30,3rd,It's complicated,Pulling of all nighters :),No,Dhansiri,Prefer not to say,Bike riding,Serpentine Lake 😏,Arunachal Pradesh,CSE,Java,Hostel Mess,Prakriti,No,10
2022/08/16 12:55:11 pm GMT+5:30,3rd,Single,Studying on a regular basis,Yes,Disang,Woman,Football,Playgrounds,Telangana,CSE,C++,Rolls Mania/Tacos,Acumen(Quiz Club),Maybe,8.28
2022/08/16 1:07:34 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Disang,Man,Cricket,Serpentine Lake 😏,Uttar Pradesh,CST,C++,Rolls Mania/Tacos,Octaves,Yes,7
2022/08/16 1:56:44 pm GMT+5:30,3rd,Single,Studying on a regular basis,Yes,Kapili,Man,"Cricket, Football, Swimming, Tennis.",Serpentine Lake 😏,Assam,CL,C,Khoka,Prakriti,Yes,7.4
2022/08/16 2:10:28 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Brahmaputra,Man,Swimming ,Lake in front of the hospital,Maharashtra,ME,C++,Hostel Canteen,iitg.ai,Maybe,7.8
2022/08/16 4:38:34 pm GMT+5:30,1st,Single,Studying on a regular basis,No,Brahmaputra,Man,Chess,Market Complex,Bihar,CSE,Java,Hostel Mess,Coding Club,Yes,NA
2022/08/16 4:49:00 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Disang,Woman,cricket,Playgrounds,Uttar Pradesh,ME,C++,Hostel Canteen,Coding Club,No,7
2022/08/16 6:02:06 pm GMT+5:30,4th,In a relationship,Studying on a regular basis,Yes,Subansiri,Non-binary,Coding,Lake in front of the hospital,Puducherry,BSBE,C++,Rolls Mania/Tacos,Palates,No,11
2022/08/16 7:35:10 pm GMT+5:30,1st,Single,Pulling of all nighters :),No,Siang,Man,Swimming,Serpentine Lake 😏,Assam,CSE,C,Food Court,Coding Club,Yes,9
2022/08/16 7:51:38 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Lohit,Man,Football,Lake in front of the hospital,Jharkhand,ECE,C++,Rolls Mania/Tacos,Octaves,Yes,7.7
2022/08/16 8:25:57 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Barak,Man,,Playgrounds,Maharashtra,CSE,C++,Others,Finance and Economics,Yes,7
2022/08/16 9:38:00 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Brahmaputra,Man,badminton,Others,The Government of NCT of Delhi,MnC,Python,Hostel Canteen,iitg.ai,No,8.6
2022/08/17 12:15:23 am GMT+5:30,2nd,It's complicated,Studying on a regular basis,No,Disang,Man,Table Tennis ,Lake in front of the hospital,Maharashtra,Dsai,C,Khoka,E cell,Maybe,8.98
2022/08/17 12:18:07 am GMT+5:30,2nd,In a relationship,Studying on a regular basis,Yes,Dihing,Man,Swimming,IIT G lake (in front of library),Punjab,CSE,C++,Food Court,Anchoring Club,Yes,9.14
2022/08/17 12:19:09 am GMT+5:30,2nd,It's complicated,Pulling of all nighters :),Yes,Kameng,Man,Badminton ,Serpentine Lake 😏,Tamil Nadu,CSE,C,Nonveg stalls near library,Montage,Maybe,9.2
2022/08/17 12:19:38 am GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Brahmaputra,Man,Basketball ,New Sac,Telangana,Dsai,C++,Rolls Mania/Tacos,Coding Club,Maybe,7.98
2022/08/17 12:24:16 am GMT+5:30,4th,Single,Pulling of all nighters :),No,Kapili,Man,tt,Others,Gujarat,CSE,C++,Rolls Mania/Tacos,Coding Club,No,8.37
2022/08/17 12:29:37 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Disang,Man,Football ,New Sac,Bihar,BSBE,C++,Khoka,Coding Club,Maybe,7.5
2022/08/17 12:30:29 am GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Lohit,Man,Cricket,Hostel Canteen,Punjab,CSE,C++,Rolls Mania/Tacos,Coding Club,Yes,8.76
2022/08/17 12:32:03 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Disang,Woman,swimming,Others,Haryana,BSBE,C++,Hostel Canteen,Coding Club,Maybe,8
2022/08/17 12:34:17 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Disang,Man,Cricket,Khoka,Uttar Pradesh,CST,C++,Food Court,Coding Club,Yes,7.9
2022/08/17 12:35:18 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Lohit,Man,Table tennis ,IIT G lake (in front of library),Rajasthan,CSE,C,Food Court,Coding Club,Yes,7.035
2022/08/17 12:35:26 am GMT+5:30,4th,Single,Studying on a regular basis,Yes,Barak,Man,Basketball,Playgrounds,Tamil Nadu,BSBE,Python,Rolls Mania/Tacos,Coding Club,Yes,7
2022/08/17 12:35:29 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Lohit,Man,Cricket ,Playgrounds,Uttarakhand,CSE,C++,Food Court,Coding Club,Yes,7+🤣
2022/08/17 12:37:41 am GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Manas,Man,Cricket ,Others,Madhya Pradesh,CSE,C++,Hostel Mess,Montage,Yes,7.3
2022/08/17 12:38:32 am GMT+5:30,2nd,It's complicated,Pulling of all nighters :),No,Dhansiri,Woman,No sport lol,Khoka,Haryana,EEE,Others,Khoka,Whitespace,No,7
2022/08/17 12:39:19 am GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Barak,Man,Badminton lol,Hostel Canteen,,CST,Python,Nonveg stalls near library,Aeromodelling,Yes,7.8
2022/08/17 12:41:03 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Disang,Man,Chess,IIT G lake (in front of library),Assam,BSBE,C++,Food Court,Robotics,Yes,7.01
2022/08/17 12:43:24 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Subansiri,Woman,Swimming and badminton,Others,Madhya Pradesh,CSE,C++,Rolls Mania/Tacos,IITG Racing,Yes,8.5
2022/08/17 12:43:56 am GMT+5:30,2nd,In a relationship,Studying on a regular basis,Yes,Umiam,Man,futbol,IIT G lake (in front of library),Karnataka,EP,Python,Core Canteen,Equinox,Maybe,0
2022/08/17 1:04:31 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Barak,Man,,Others,Tripura,ECE,C++,Food Court,Robotics,Yes,8.38
2022/08/17 1:05:08 am GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Barak,Man,Chess,IIT G lake (in front of library),Punjab,ECE,C++,Food Court,Coding Club,No,8.49
2022/08/17 1:08:12 am GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Disang,Woman,,New Sac,Uttar Pradesh,EEE,C++,Rolls Mania/Tacos,Cadence,Maybe,8.34
2022/08/17 1:08:41 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Kameng,Man,,New Sac,Telangana,EEE,C++,Food Court,iitg.ai,Yes,7.6
2022/08/17 1:15:29 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Brahmaputra,Man,Badminton ,,Gujarat,EEE,C++,Hostel Canteen,Coding Club,Yes,6.9
2022/08/17 1:22:07 am GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Umiam,Man,Basketball,Others,Gujarat,CSE,Python,Hostel Mess,Game dev and E-sports,Maybe,8.38
2022/08/17 1:39:04 am GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Dihing,Man,Table tennis,Khoka,Bihar,ECE,C++,Khoka,Coding Club,Yes,8.8
2022/08/17 6:38:50 am GMT+5:30,2nd,It's complicated,Pulling of all nighters :),Yes,Umiam,Man,Volleyball ,New Sac,Tamil Nadu,ECE,Python,Food Court,Coding Club,Yes,8.77
2022/08/17 8:07:59 am GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Kapili,Man,Basketball,New Sac,Tamil Nadu,ECE,Python,Rolls Mania/Tacos,Game dev and E-sports,Yes,8.73
2022/08/17 8:19:04 am GMT+5:30,2nd,Single,Studying on a regular basis,No,Dhansiri,Woman,Volleyball ,Hostel Canteen,Uttarakhand,EEE,C,Hostel Canteen,Fine Arts club,Yes,6.8
2022/08/17 8:31:13 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Barak,Man,"Cricket,volleyball",Serpentine Lake 😏,Uttar Pradesh,BSBE,C,Others,Coding Club,Yes,6.7
2022/08/17 9:12:47 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Umiam,Man,,,Gujarat,ECE,C,Food Court,,Yes,8.6
2022/08/17 1:50:44 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Disang,Man,Basketball,Hostel Canteen,Madhya Pradesh,EEE,C++,Food Court,Coding Club,Yes,7.5
2022/08/17 1:51:44 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Disang,Man,,Food Court,Punjab,BSBE,C++,Rolls Mania/Tacos,Finance and Economics,Yes,7.5
2022/08/17 2:08:12 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Disang,Man,Chess,Others,,CST,C,Khoka,Coding Club,Maybe,7
2022/08/17 11:28:28 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Disang,Woman,Swimming ,Khoka,Chandigarh,CL,C++,Khoka,4i labs,Maybe,7.4
2022/08/19 4:27:15 am GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Disang,Woman,Swimming,IIT G lake (in front of library),West Bengal,EEE,C++,Rolls Mania/Tacos,Xpressions,Maybe,8.05
2022/08/19 4:29:21 am GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Disang,Man,Cricket ,Khoka,Madhya Pradesh,EEE,C++,Khoka,Xpressions,Yes,7.8
2022/08/19 12:31:37 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Kapili,Man,Cricket,,Maharashtra,CSE,C++,Hostel Canteen,Coding Club,Maybe,8.3
2022/08/19 8:44:46 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Dhansiri,,,New Sac,Bihar,Dsai,C++,Khoka,,Maybe,8.3
2022/08/19 9:09:56 pm GMT+5:30,2nd,It's complicated,Pulling of all nighters :),Yes,Brahmaputra,Man,Bat-Ball,Hostel Canteen,Daman & Diu,Dsai,Java,Hostel Mess,Finance and Economics,,4.74
2022/08/19 10:15:32 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Brahmaputra,Man,basketball ,Khoka,Bihar,CSE,C++,None,Coding Club,Yes,9.52
2022/08/19 10:16:47 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Brahmaputra,Man,Swimming,New Sac,Uttar Pradesh,MnC,C++,Food Court,Xpressions,Yes,9.45
2022/08/19 10:17:28 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Umiam,Man,Gymnastics ,Others,Uttarakhand,ECE,C++,Hostel Mess,Coding Club,Yes,8.5
2022/08/19 10:18:04 pm GMT+5:30,3rd,Single,Pulling of all nighters :),Yes,Disang,Woman,Table tennis,Hostel Canteen,Karnataka,ECE,C++,Rolls Mania/Tacos,Coding Club,Yes,9.46
2022/08/19 10:18:32 pm GMT+5:30,4th,Single,Studying on a regular basis,Yes,Dihing,Man,Badminton,Khoka,Bihar,CST,C++,Others,,Maybe,11.97
2022/08/19 10:19:56 pm GMT+5:30,3rd,Single,Pulling of all nighters :),Yes,Brahmaputra,Man,Cricket,Food Court,Telangana,CSE,C++,Food Court,E cell,Yes,7.86
2022/08/19 10:23:53 pm GMT+5:30,3rd,Single,Studying on a regular basis,No,Brahmaputra,Man,Cricket,Others,Uttar Pradesh,EEE,C++,Hostel Mess,E cell,Maybe,6.88
2022/08/19 10:26:04 pm GMT+5:30,3rd,Single,Studying on a regular basis,Yes,Disang,Woman,Cricket,Serpentine Lake 😏,Maharashtra,CSE,C++,None,Octaves,Yes,7.23
2022/08/19 10:26:09 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Lohit,Man,Na,Serpentine Lake 😏,Uttar Pradesh,CSE,Java,None,Coding Club,No,100
2022/08/19 10:26:56 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Lohit,Man,Swimming,IIT G lake (in front of library),Maharashtra,ECE,C++,Khoka,Coding Club,Yes,8.51
2022/08/19 10:29:09 pm GMT+5:30,2nd,In a relationship,Studying on a regular basis,Yes,Brahmaputra,Man,Football,New Sac,The Government of NCT of Delhi,CSE,C++,Rolls Mania/Tacos,Coding Club,Yes,9.86
2022/08/19 10:32:01 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Dhansiri,Woman,Table tennis,Serpentine Lake 😏,Haryana,CSE,C++,Food Court,Cadence,Yes,7.86
2022/08/19 10:32:42 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Siang,Man,cricket,Playgrounds,Bihar,CST,Java,Hostel Canteen,IITG Racing,No,8
2022/08/19 10:32:43 pm GMT+5:30,3rd,Single,Pulling of all nighters :),Yes,Disang,Man,Playing with my mental health,Others,,ECE,C++,Core Canteen,Coding Club,No,8.34
2022/08/19 10:34:45 pm GMT+5:30,4th,Single,Pulling of all nighters :),Yes,Lohit,Man,Football,Khoka,The Government of NCT of Delhi,MnC,,Khoka,Coding Club,Yes,8.91
2022/08/19 10:35:17 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Disang,Man,Genshin Impact,Others,Gujarat,CST,C,Hostel Mess,Finance and Economics,Maybe,6.7
2022/08/19 10:35:28 pm GMT+5:30,3rd,It's complicated,Pulling of all nighters :),No,Brahmaputra,Man,,Serpentine Lake 😏,Bihar,ECE,C++,Food Court,Coding Club,Yes,8.53
2022/08/19 10:36:51 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Kameng,Man,Badminton ,IIT G lake (in front of library),Assam,CST,C++,Others,Coding Club,Yes,7.43
2022/08/19 10:38:04 pm GMT+5:30,2nd,It's complicated,Studying on a regular basis,Yes,Disang,Man,Football,Others,Maharashtra,CST,C++,Others,Consulting and Analytics,Yes,7.12
2022/08/19 10:46:26 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Dibang,Man,,New Sac,,,,,,Yes,8.38
2022/08/19 10:51:41 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Kameng,Man,Badminton ,Food Court,Bihar,EEE,C++,Food Court,Coding Club,Maybe,8.4
2022/08/19 11:02:19 pm GMT+5:30,3rd,Single,Studying on a regular basis,No,Brahmaputra,Man,Swimming ,New Sac,Maharashtra,CST,Python,Rolls Mania/Tacos,Coding Club,Yes,8.8
2022/08/19 11:03:31 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Manas,Man,Athletics,Playgrounds,Kerala,CE,,Rolls Mania/Tacos,Alcher,Yes,6.7
2022/08/19 11:07:21 pm GMT+5:30,4th,Single,Pulling of all nighters :),Yes,Barak,Man,Table tennis ,Hostel Canteen,The Government of NCT of Delhi,ME,C++,Rolls Mania/Tacos,Acumen(Quiz Club),Yes,8.43
2022/08/19 11:09:36 pm GMT+5:30,4th,It's complicated,Pulling of all nighters :),No,Kameng,Man,Sex,Serpentine Lake 😏,Bihar,ME,C++,Food Court,Coding Club,No,8.33
2022/08/19 11:13:21 pm GMT+5:30,4th,It's complicated,Studying on a regular basis,No,Disang,Woman,,Khoka,Maharashtra,ME,C++,Rolls Mania/Tacos,Cadence,Yes,8.1
2022/08/19 11:21:30 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Disang,Woman,Badminton,Old Sac,The Government of NCT of Delhi,CSE,C++,Food Court,Coding Club,No,9.7
2022/08/19 11:24:32 pm GMT+5:30,4th,It's complicated,Pulling of all nighters :),No,Dihing,Man,Squash,Khoka,Kerala,ME,Others,Khoka,Cadence,Yes,10
2022/08/19 11:27:07 pm GMT+5:30,4th,In a relationship,Pulling of all nighters :),No,Brahmaputra,Man,Swimming ,New Sac,Madhya Pradesh,ME,C++,Rolls Mania/Tacos,Coding Club,No,8.24
2022/08/19 11:29:22 pm GMT+5:30,4th,Single,Studying on a regular basis,Yes,Kapili,Man,Badminton,Khoka,Uttar Pradesh,ME,C++,Khoka,IITG Racing,Maybe,8.09
2022/08/19 11:29:28 pm GMT+5:30,4th,Single,Studying on a regular basis,No,Dihing,Man,Swimming ,New Sac,Odisha,ME,C++,Khoka,E cell,Yes,7.99
2022/08/19 11:34:43 pm GMT+5:30,3rd,It's complicated,Studying on a regular basis,No,Brahmaputra,Man,Badminton,Others,Gujarat,CL,Python,None,E cell,No,8.62
2022/08/19 11:45:28 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Brahmaputra,Man,Badminton ,Others,Madhya Pradesh,Dsai,Python,None,iitg.ai,Yes,7.6
2022/08/19 11:46:35 pm GMT+5:30,2nd,It's complicated,Studying on a regular basis,No,Kameng,Man,Cricket,IIT G lake (in front of library),Odisha,EEE,C++,Khoka,Cadence,Yes,7.4
2022/08/19 11:53:26 pm GMT+5:30,4th,Single,Pulling of all nighters :),Yes,Barak,Man,Cricket,Others,Chhattisgarh,ME,C++,Hostel Canteen,Coding Club,Maybe,8.19
2022/08/20 12:04:39 am GMT+5:30,4th,Single,Studying on a regular basis,Yes,Barak,Man,,Hostel Canteen,Bihar,ME,C++,None,Coding Club,Maybe,8.3
2022/08/20 12:14:21 am GMT+5:30,3rd,Single,Pulling of all nighters :),Yes,Manas,Man,Cricket,Hostel Canteen,Madhya Pradesh,CSE,C++,Khoka,Game dev and E-sports,Yes,7.7
2022/08/20 12:30:20 am GMT+5:30,4th,In a relationship,Pulling of all nighters :),Yes,Disang,Woman,,IIT G lake (in front of library),Rajasthan,ME,C++,None,Coding Club,Yes,8.6
2022/08/20 2:14:30 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Disang,Woman,Badminton ,Others,Haryana,CSE,C++,Food Court,Coding Club,Maybe,9.23
2022/08/20 7:12:00 am GMT+5:30,4th,Single,Studying on a regular basis,No,Manas,Man,Drone racing ,New Sac,Maharashtra,ME,Python,Others,Aeromodelling,Yes,8.66
2022/08/20 7:46:37 am GMT+5:30,4th,Single,Studying on a regular basis,Yes,Lohit,Man,Table tennis,New Sac,Maharashtra,MnC,Others,Food Court,Aeromodelling,Maybe,9.34
2022/08/20 9:30:23 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Subansiri,Woman,Tennis ,Food Court,Maharashtra,CST,C++,Rolls Mania/Tacos,Coding Club,Yes,6.87
2022/08/20 10:44:36 am GMT+5:30,2nd,In a relationship,Studying on a regular basis,No,Disang,Woman,Badminton ,Hostel Canteen,Kerala,ECE,C++,Hostel Canteen,E cell,Maybe,8.4
2022/08/20 10:58:27 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Lohit,Man,Badminton ,IIT G lake (in front of library),Uttar Pradesh,ECE,C++,Food Court,Coding Club,Yes,8.5
